City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity %,Temperature (F),Wind Speed (mph),Cloudiness %
3347019,Mossamedes,AO,05/09/20,-15.2,12.15,49,78.63800000000005,1.0,85
1790863,Ziyang,CN,05/09/20,29.25,117.85,63,79.77200000000003,2.22,61
3374083,Bathsheba,BB,05/09/20,13.22,-59.52,69,80.6,8.2,40
1688696,San Policarpo,PH,05/09/20,12.18,125.51,72,85.73000000000005,3.42,95
2112802,Hasaki,JP,05/09/20,35.73,140.83,88,71.99600000000005,4.6,75
1687167,Saraza,PH,05/09/20,8.74,117.78,60,89.49199999999999,3.33,99
1701054,Marawi,PH,05/09/20,8.0,124.29,80,84.99199999999999,3.58,100
3450083,Santa Maria,BR,05/09/20,-29.68,-53.81,70,55.90400000000005,2.59,0
2112309,Katsuura,JP,05/09/20,35.13,140.3,94,71.99600000000005,7.2,90
5807540,Pullman,US,05/09/20,46.73,-117.18,34,66.2,1.35,1
6150293,Smoky Lake,CA,05/09/20,54.12,-112.47,81,39.00200000000008,1.79,99
2122389,Ossora,RU,05/09/20,59.24,163.07,92,35.924000000000014,3.23,100
1863917,Fukuyama,JP,05/09/20,34.48,133.37,100,71.00600000000003,3.1,75
3899695,Ancud,CL,05/09/20,-41.87,-73.82,87,50.0,5.7,75
2094027,Kieta,PG,05/09/20,-6.22,155.63,71,85.98200000000001,3.17,81
693010,Sribne,UA,05/09/20,50.66,32.92,85,49.02800000000006,4.07,91
3386213,Touros,BR,05/09/20,-5.2,-35.46,94,73.4,1.5,40
5866063,Kenai,US,05/09/20,60.55,-151.26,36,64.4,6.7,1
2263049,Serpa,PT,05/09/20,37.95,-7.6,87,55.4,3.1,40
3839479,Rafaela,AR,05/09/20,-31.25,-61.49,47,60.008,2.24,0
8010683,Porto Santo,PT,05/09/20,33.07,-16.34,77,62.6,7.7,75
2071860,Esperance,AU,05/09/20,-33.87,121.9,42,64.4,7.7,0
2361177,Djibo,BF,05/09/20,14.1,-1.63,30,91.85,2.18,43
1258338,Ratnagiri,IN,05/09/20,16.98,73.3,58,88.21400000000003,4.84,0
3581194,San Ignacio,BZ,05/09/20,17.16,-89.07,86,78.00800000000001,0.6,100
1185239,Sarankhola,BD,05/09/20,22.31,89.79,33,98.816,1.26,0
